"AIRLINE_ID","CARRIER_NAME","REGION",
19477,"North Cariboo Flying Serv.","International",
19478,"Norcanair","International",
19479,"Northward Airlines Ltd.","International",
19480,"North Coast Air Services","International",
19481,"National Aviation Consult.","International",
19482,"Air Niugini","International",
19483,"Nunasi-Central Airlines Ltd.","International",
19484,"Ontario Worldair Limited","International",
19485,"Pem-Air Limited","International",
19486,"Eastern Provincial Airways","International",
19487,"Pacific Western Airlines","International",
19488,"Inter-Quebec (Intair)","International",
19489,"Syrian Arab Airlines","International",
19490,"Aerotransportes Entre Rios","International",
19491,"Redcoat Air Cargo Limited","International",
19492,"Skycharter (Malton) Ltd.","International",
19493,"Superior Airways Limited","International",
19494,"Belize Airways Limited","International",
19495,"Skycraft Air Transport Inc.","International",
19496,"Trans-Mediterranean Airways","International",
19497,"British Caribbean Airways","International",
19498,"Air Manila Inc.","International",
19499,"Avalon Aviation Ltd.","International",
19500,"Wardair Canada Inc.","International",
19501,"Gateway Aviation Limited","International",
19502,"Windward Islands Airways","International",
19503,"Nal Inc.","Domestic",
19504,"Yellow Bird Air","International",
19505,"Air Europe Limited","International",
19506,"Intair","International",
19507,"Yugoslav Airlines","International",
19508,"Union De Transports Aeriens","International",
19509,"Air Haiti S. A.","International",
19510,"Servicio Aereo De Honduras","International",
19511,"Sterling Airways A/S","International",
19512,"Aerolineas El Salvador S A","International",
19513,"Transp. Aereos Bolivianos","International",
19514,"Aeronaves Del Peru","International",
19515,"Compania Dominicana De Avia","International",
19516,"Nigeria Airways Ltd.","International",
19517,"Lineas Aereas Paraguayas","International",
19518,"Lufthansa Cargo Airlines","International",
19519,"Venezuelan International Airways","International",
19520,"Andes","International",
19521,"Compan. De Aviacion Faucett","International",
19522,"Aviateca","International",
19523,"Canadian Airlines International Ltd.","International",
19524,"Guyana Airways Corporation","International",
19525,"Seagreen Air Transport","International",
19526,"Air Nauru","International",
19527,"Aero Peru","International",
19528,"Balair Ag","International",
19529,"Sabena Belgian World Air.","International",
19530,"Air Afrique","International",
19531,"Air Canada","International",
19532,"Compagnie Natl Air France","International",
19533,"National Aviation Company of India Limited d/b/a Air India","International",
19533,"Air-India","International",
19534,"Aeromexico","International",
19535,"Aerolineas Argentinas","International",
19536,"Royal Air Maroc","International",
19537,"Aerovias Nacl De Colombia","International",
19538,"Finnair Oy","International",
19539,"Compagnia Aerea Italiana","International",
19539,"Alitalia-Linee Aeree Italia","International",
19540,"British Airways Plc","International",
19541,"British Midland Airways Ltd.","International",
19542,"British West Indian Airways","International",
19542,"Caribbean Airlines Limited","International",
19543,"Air China","International",
19544,"China Airlines Ltd.","International",
19545,"Cargolux Airlines International S.A","International",
19546,"Icelandair","International",
19547,"Iberia Air Lines Of Spain","International",
19548,"Japan Air Lines Co. Ltd.","International",
19549,"Air Jamaica Limited","International",
19550,"Korean Air Lines Co. Ltd.","International",
19551,"Klm Royal Dutch Airlines","International",
19552,"Lan-Chile Airlines","International",
19553,"Lloyd Aereo Boliviano S. A.","International",
19554,"Lufthansa German Airlines","International",
19555,"Polskie Linie Lotnicze","International",
19556,"Lacsa","International",
19557,"Luftransport-Unternehmen","International",
19558,"El Al Israel Airlines Ltd.","International",
19559,"Compania Mexicana De Aviaci","International",
19560,"N. W. Territorial Airways","International",
19561,"Olympic Airways","International",
19562,"Polynesian Airlines Ltd.","International",
19563,"Pakistan International Airlines","International",
19564,"Philippine Airlines Inc.","International",
19565,"Surinam Airways Limited","International",
19566,"Qantas Airways Ltd.","International",
19567,"Varig S. A.","International",
19568,"Alia-(The) Royal Jordanian","International",
19569,"Tarom Romanian Air Transpor","International",
19570,"South African Airways","International",
19571,"Scandinavian Airlines Sys.","International",
19572,"Singapore Airlines Ltd.","International",
19573,"Aeroflot Russian Airlines","International",
19573,"Aeroflot Russian Airlines","International",
19574,"Taca International Airlines","International",
19575,"Thai Airways International Ltd.","International",
19576,"Tap-Portuguese Airlines","International",
19577,"Bahamasair Holding Limited","International",
19578,"Transtar Airlines Corp.","Domestic",
19579,"Heavylift Cargo Airlines Lt","International",
19580,"Ladeco","International",
19581,"Altus Airlines","Domestic",
19582,"Atlantic Air","Domestic",
19583,"Aero International Airlines","Domestic",
19584,"Northern Star","Domestic",
19585,"Skytrain","Domestic",
19586,"Trans Air Cargo Inc.","Domestic",
19587,"T-Bird Air Inc.","International",
19587,"T-Bird Air Inc.","System",
19587,"T-Bird Air Inc.","Domestic",
19588,"Royal West Airways Inc.","Domestic",
19589,"Air East Of Delaware Inc.","Domestic",
19590,"Atlanta Express","Domestic",
19591,"Air New Orleans","Domestic",
19592,"Air Vermont Inc.","Domestic",
19593,"Dolphin Airways Inc.","Domestic",
19594,"Devoe Airlines","Domestic",
19595,"Golden Pacific Airlines","Domestic",
19596,"National Florida Airlines","Domestic",
19597,"Slocum Air Inc.","Domestic",
19598,"State Airlines Inc.","Domestic",
19599,"Air Molakai","Domestic",
19600,"Williams Air Inc.","Domestic",
19601,"Mission Air","Domestic",
19602,"Guy-America Airways Inc.","Latin America",
19602,"Guy-America Airways Inc.","Domestic",
19603,"Pacific Express","Domestic",
19604,"Northeastern International Airways","Domestic",
19605,"Friendship Air Alaska","Domestic",
19606,"Minuteman Aviation Inc.","Domestic",
19607,"Virgin Islands Seaplane","Domestic",
19608,"Flying Tiger Line Inc.","Latin America",
19608,"Flying Tiger Line Inc.","Atlantic",
19608,"Flying Tiger Line Inc.","Pacific",
19608,"Flying Tiger Line Inc.","Domestic",
19609,"Aerocondor","International",
19610,"Emerald Airlines Inc.","Domestic",
19611,"Northern Airlines Inc.","Domestic",
19612,"Pacific East Air Inc.","Domestic",
19613,"Jet Charter Service Inc.","International",
19613,"Jet Charter Service Inc.","Domestic",
19613,"Jet Charter Service Inc.","System",
19614,"Aeroservicios Ecuatorianos","International",
19615,"Arista International Airlines Inc.","International",
19615,"Arista International Airlines Inc.","Domestic",
19615,"Arista International Airlines Inc.","System",
19616,"Kuwait Airways Corp.","International",
19617,"Burlington Aeroplane Co.","Domestic",
19618,"Desert Sun Airlines","Domestic",
19619,"Lake Union Air Service","Domestic",
19620,"Aer Turas Teoranta","International",
19621,"Aero B Venezuela C.A.","International",
19622,"Air Ontario Limited","International",
19623,"Aer Lingus Plc","International",
19624,"Saudi Arabian Airlines Corp","International",
19625,"Air Polynesia d/b/a DHL Cargo","Domestic",
19626,"Air Natl Aircraft Sal & Ser","Domestic",
19627,"A/S Conair","International",
19628,"Dash Air Corporation","Domestic",
19629,"Air Resorts Airlines","Domestic",
19630,"Manu'a Air Transport","Domestic",
19631,"Pacific Cal Air","Domestic",
19632,"Service Aviation Inc.","Domestic",
19633,"The Time Machine","Domestic",
19634,"Servicio De Carga Aerea Sa","International",
19635,"Hapag Lloyd Flug.","International",
19636,"Air One Inc.","Domestic",
19637,"Middle East Airlines S.A.L.","International",
19638,"Arcata Flying Service","Domestic",
19639,"Grand Canyon Airlines","Domestic",
19640,"Kodiak Airways Inc.","Domestic",
19641,"Mid-Atlantic Exp. Airlines","Domestic",
19642,"National Commuter Airlines","Domestic",
19643,"Sundorph Aeronautical Corp.","Domestic",
19644,"Waring Air","Domestic",
19645,"All Star Airlines Inc.","International",
19645,"All Star Airlines Inc.","Domestic",
19645,"All Star Airlines Inc.","System",
19646,"Aeron International Airlines Inc.","International",
19647,"Jet Fleet Intl. Airlines","International",
19647,"Jet Fleet Intl. Airlines","Domestic",
19647,"Jet Fleet Intl. Airlines","System",
19648,"Markair Express","Domestic",
19649,"Alaska Island Air Inc.","Domestic",
19650,"Air Sunshine Inc.","Domestic",
19650,"Air Sunshine Inc.","Domestic",
19651,"Eastman Airways Inc.","Domestic",
19652,"Spirit Helicopter","Domestic",
19653,"Air National","International",
19653,"Air National","Domestic",
19654,"Executive Charter","Domestic",
19655,"Aviation Associates","Domestic",
19656,"Airmarc Airlines Inc.","Domestic",
19657,"Panorama Air Tours","Domestic",
19658,"Trans-Air-Link Corporation","System",
19658,"Trans-Air-Link Corporation","International",
19658,"Trans-Air-Link Corporation","Domestic",
19659,"Audi Air Inc.","Domestic",
19660,"Galaxy Airlines Inc.","International",
19660,"Galaxy Airlines Inc.","System",
19660,"Galaxy Airlines Inc.","Domestic",
19661,"Intl Air Service Co. Ltd.","Domestic",
19662,"Transbrasil S.A.","International",
19663,"Hawkins And Powers Aviation","Domestic",
19664,"Jet East Inc.","Domestic",
19665,"Air Sedona","Domestic",
